"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"10",8.91548537,10.99780177,67,20,0,6148,"N67,P20,K0","Sammaz 15","Sandy Loam"
"13",8.92103285,11.02404567,46,0,0,2399,"N46,P0,K0","Sammaz 15","Sandy Loam"
"13",8.92103285,11.02404567,68,10,19,3353,"N68,P10,K19","Sammaz 15","Sandy Loam"
"13",8.92103285,11.02404567,62,14,27,3643,"N62,P14,K27","Sammaz 15","Sandy Loam"
"13",8.92103285,11.02404567,67,20,0,3649,"N67,P20,K0","Sammaz 15","Sandy Loam"
"16",8.904863355,11.02506646,46,0,0,3359,"N46,P0,K0","Sammaz 15","Sandy Loam"
"16",8.904863355,11.02506646,68,10,19,5593,"N68,P10,K19","Sammaz 15","Sandy Loam"
"16",8.904863355,11.02506646,62,14,27,7893,"N62,P14,K27","Sammaz 15","Sandy Loam"
"16",8.904863355,11.02506646,67,20,0,7653,"N67,P20,K0","Sammaz 15","Sandy Loam"
"12",8.923211897,11.02178953,46,0,0,4108,"N46,P0,K0","Sammaz 15","Sandy Loam"
"12",8.923211897,11.02178953,68,10,19,5043,"N68,P10,K19","Sammaz 15","Sandy Loam"
"12",8.923211897,11.02178953,62,14,27,4302,"N62,P14,K27","Sammaz 15","Sandy Loam"
"12",8.923211897,11.02178953,67,20,0,4215,"N67,P20,K0","Sammaz 15","Sandy Loam"
"14",8.909257343,11.02417473,46,0,0,2456,"N46,P0,K0","Sammaz 15","Sandy Loam"
"14",8.909257343,11.02417473,68,10,19,4207,"N68,P10,K19","Sammaz 15","Sandy Loam"
"14",8.909257343,11.02417473,62,14,27,3462,"N62,P14,K27","Sammaz 15","Sandy Loam"
"14",8.909257343,11.02417473,67,20,0,3052,"N67,P20,K0","Sammaz 15","Sandy Loam"
"17",8.9255795,11.02581529,46,0,0,3880,"N46,P0,K0","Sammaz 15","Sandy Loam"
"17",8.9255795,11.02581529,68,10,19,4784,"N68,P10,K19","Sammaz 15","Sandy Loam"
"17",8.9255795,11.02581529,62,14,27,4845,"N62,P14,K27","Sammaz 15","Sandy Loam"
"17",8.9255795,11.02581529,67,20,0,4294,"N67,P20,K0","Sammaz 15","Sandy Loam"
"18",8.920093738,11.03226245,46,0,0,2795,"N46,P0,K0","Sammaz 15","Sandy Loam"
"18",8.920093738,11.03226245,68,10,19,5785,"N68,P10,K19","Sammaz 15","Sandy Loam"
"18",8.920093738,11.03226245,62,14,27,6009,"N62,P14,K27","Sammaz 15","Sandy Loam"
"18",8.920093738,11.03226245,67,20,0,5319,"N67,P20,K0","Sammaz 15","Sandy Loam"
"11",8.976059721,11.01669724,46,0,0,2552,"N46,P0,K0","Sammaz 15","Sandy Loam"
"11",8.976059721,11.01669724,68,10,19,3854,"N68,P10,K19","Sammaz 15","Sandy Loam"
"11",8.976059721,11.01669724,62,14,27,3357,"N62,P14,K27","Sammaz 15","Sandy Loam"
"11",8.976059721,11.01669724,67,20,0,3412,"N67,P20,K0","Sammaz 15","Sandy Loam"
"110",8.524566657,6.515264885,46,0,0,1878,"N46,P0,K0","Sammaz 15","Sandy Loam"
"110",8.524566657,6.515264885,68,10,19,1959,"N68,P10,K19","Sammaz 15","Sandy Loam"
"110",8.524566657,6.515264885,67,20,0,3003,"N67,P20,K0","Sammaz 15","Sandy Loam"
"88",10.0393,6.0694717,46,0,0,1325,"N46,P0,K0","Sammaz 15","Loam"
"88",10.0393,6.0694717,68,10,19,2589,"N68,P10,K19","Sammaz 15","Loam"
"88",10.0393,6.0694717,62,14,27,3575,"N62,P14,K27","Sammaz 15","Loam"
"88",10.0393,6.0694717,67,20,0,3461,"N67,P20,K0","Sammaz 15","Loam"
"97",10.0311383,6.09458,46,0,0,1758,"N46,P0,K0","Sammaz 15","Loam"
"97",10.0311383,6.09458,68,10,19,3951,"N68,P10,K19","Sammaz 15","Loam"
"97",10.0311383,6.09458,62,14,27,3774,"N62,P14,K27","Sammaz 15","Loam"
"97",10.0311383,6.09458,67,20,0,3976,"N67,P20,K0","Sammaz 15","Loam"
"93",10.0181667,6.0763033,46,0,0,3236,"N46,P0,K0","Sammaz 15","Loam"
"93",10.0181667,6.0763033,68,10,19,3720,"N68,P10,K19","Sammaz 15","Loam"
"93",10.0181667,6.0763033,62,14,27,3376,"N62,P14,K27","Sammaz 15","Loam"
"93",10.0181667,6.0763033,67,20,0,3047,"N67,P20,K0","Sammaz 15","Loam"
"95",10.0516933,6.08197,46,0,0,2414,"N46,P0,K0","Sammaz 15","Loam"
"95",10.0516933,6.08197,68,10,19,4620,"N68,P10,K19","Sammaz 15","Loam"
"95",10.0516933,6.08197,62,14,27,5783,"N62,P14,K27","Sammaz 15","Loam"
"95",10.0516933,6.08197,67,20,0,6250,"N67,P20,K0","Sammaz 15","Loam"
"94",10.0453717,6.0772767,46,0,0,1811,"N46,P0,K0","Sammaz 15","Loam"
"94",10.0453717,6.0772767,68,10,19,4645,"N68,P10,K19","Sammaz 15","Loam"
"94",10.0453717,6.0772767,62,14,27,2465,"N62,P14,K27","Sammaz 15","Loam"
"94",10.0453717,6.0772767,67,20,0,3487,"N67,P20,K0","Sammaz 15","Loam"
"91",10.0162883,6.0734817,46,0,0,2669,"N46,P0,K0","Sammaz 15","Loam"
"91",10.0162883,6.0734817,68,10,19,4006,"N68,P10,K19","Sammaz 15","Loam"
"91",10.0162883,6.0734817,62,14,27,5012,"N62,P14,K27","Sammaz 15","Loam"
"91",10.0162883,6.0734817,67,20,0,4364,"N67,P20,K0","Sammaz 15","Loam"
"92",10.0374283,6.075185,46,0,0,2879,"N46,P0,K0","Sammaz 15","Loam"
"92",10.0374283,6.075185,68,10,19,5236,"N68,P10,K19","Sammaz 15","Loam"
"92",10.0374283,6.075185,62,14,27,6464,"N62,P14,K27","Sammaz 15","Loam"
"92",10.0374283,6.075185,67,20,0,5401,"N67,P20,K0","Sammaz 15","Loam"
"90",10.02119,6.070565,46,0,0,3537,"N46,P0,K0","Sammaz 15","Loam"
"90",10.02119,6.070565,68,10,19,3948,"N68,P10,K19","Sammaz 15","Loam"
"90",10.02119,6.070565,62,14,27,4985,"N62,P14,K27","Sammaz 15","Loam"
"90",10.02119,6.070565,67,20,0,4411,"N67,P20,K0","Sammaz 15","Loam"
"198",11.037053,8.243428853,68,10,19,2915,"N68,P10,K19","Sammaz 15","Sandy Loam"
"198",11.037053,8.243428853,62,14,27,2657,"N62,P14,K27","Sammaz 15","Sandy Loam"
"198",11.037053,8.243428853,67,20,0,2534,"N67,P20,K0","Sammaz 15","Sandy Loam"
"203",11.0277358,8.249510542,46,0,0,2677,"N46,P0,K0","Sammaz 15","Sandy Loam"
"203",11.0277358,8.249510542,68,10,19,3306,"N68,P10,K19","Sammaz 15","Sandy Loam"
"203",11.0277358,8.249510542,62,14,27,5942,"N62,P14,K27","Sammaz 15","Sandy Loam"
"203",11.0277358,8.249510542,67,20,0,5920,"N67,P20,K0","Sammaz 15","Sandy Loam"
"204",11.03380442,8.250893991,46,0,0,1992,"N46,P0,K0","Sammaz 15","Sandy Loam"
"204",11.03380442,8.250893991,68,10,19,2628,"N68,P10,K19","Sammaz 15","Sandy Loam"
"204",11.03380442,8.250893991,62,14,27,3505,"N62,P14,K27","Sammaz 15","Sandy Loam"
"204",11.03380442,8.250893991,67,20,0,3340,"N67,P20,K0","Sammaz 15","Sandy Loam"
"170",9.51020162,7.769303857,68,10,19,5211,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"170",9.51020162,7.769303857,62,14,27,3919,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"170",9.51020162,7.769303857,67,20,0,5908,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"168",9.511459346,7.764838944,46,0,0,2093,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"168",9.511459346,7.764838944,68,10,19,3431,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"168",9.511459346,7.764838944,62,14,27,4300,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"168",9.511459346,7.764838944,67,20,0,4598,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"169",9.512285757,7.768263373,46,0,0,1517,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"169",9.512285757,7.768263373,68,10,19,1390,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
